S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
742,Grok-1.5,M5,Math Olympiad,0.0032,2.015,875,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-10
743,Claude 3,M2,Math Algebra,0.0014,0.6825,1389,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
744,GPT-4,M3,Math Calculus,0.001571,0.77908,988,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
745,GPT-4,M2,Math Algebra,0.00113,0.36,593,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-5
746,Claude 3,G3,General Long,0.001189,0.56559,415,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-13
747,Grok-1.5,G3,General Long,0.001433,0.7862,1406,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
748,GPT-4,C4,Code LeetCode Easy,0.00104,0.473,1163,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
749,Grok-1.5,C3,Code DS/Algo,0.00168,0.91836,622,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
750,GPT-4,G1,General Short,0.00095,0.56925,1227,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-6
751,Claude 3,P1,Physics Basic,0.000919,0.317,962,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-5
752,Grok-1.5,C1,Code Basic,0.0012112,0.457,978,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-10
753,Claude 3,M1,Math Basic,0.0009474,0.42726,1098,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
754,GPT-4,M3,Math Calculus,0.00141,0.53,1607,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
755,Grok-1.5,P2,Physics Mechanics,0.0013,0.7613,1078,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
756,Grok-1.5,P4,Physics Quantum,0.003237,1.38314,1382,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
757,Claude 3,M5,Math Olympiad,0.0027,1.34,938,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
758,Llama-3 70B,M3,Math Calculus,0.0006,0.274,280,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
759,Claude 3,C1,Code Basic,0.0011471,0.66,383,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
760,GPT-4,M2,Math Algebra,0.0012,0.48,753,20,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-4
761,Claude 3,R3,Reasoning Puzzle,0.0016,0.58551,1417,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
762,Grok-1.5,P2,Physics Mechanics,0.0013,0.57017,1548,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
763,Grok-1.5,M4,Math Advanced,0.0026,1.17,1236,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
764,Grok-1.5,G3,General Long,0.001264,0.668,917,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-11
765,Grok-1.5,C1,Code Basic,0.001406,0.60252,829,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-7
766,Grok-1.5,G2,General Medium,0.001503,0.53,1743,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
767,Grok-1.5,M3,Math Calculus,0.00244,1.29774,242,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
768,Claude 3,C5,Code LeetCode Hard,0.00275,1.43,552,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
769,Grok-1.5,M3,Math Calculus,0.00242,1.156,1070,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-7
770,Llama-3 70B,C2,Code API/JSON,0.0004687,0.198,879,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
771,Llama-3 70B,P3,Physics EM,0.000348,0.14381,344,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
772,GPT-4,G1,General Short,0.001,0.4509,1425,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
773,GPT-4,M5,Math Olympiad,0.0020912,1.1205,178,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-14
774,GPT-4,M1,Math Basic,0.0009,0.4237,1585,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-9
775,Claude 3,M1,Math Basic,0.000934,0.525,1078,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
776,Grok-1.5,M1,Math Basic,0.0012,0.6027,464,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-1
777,Claude 3,C2,Code API/JSON,0.0013971,0.726,1469,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
778,Grok-1.5,M5,Math Olympiad,0.0033,1.1641,859,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
779,Claude 3,C4,Code LeetCode Easy,0.0009,0.362,277,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
780,Grok-1.5,R3,Reasoning Puzzle,0.002576,1.51885,902,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
781,Grok-1.5,R2,Reasoning Logical,0.001305,0.58277,1765,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-14
782,GPT-4,M2,Math Algebra,0.001215,0.4114,790,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-5
783,Llama-3 70B,C2,Code API/JSON,0.00049,0.201,310,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
784,GPT-4,G1,General Short,0.000843,0.3094,943,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
785,GPT-4,M2,Math Algebra,0.0011446,0.43415,870,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
786,Llama-3 70B,C3,Code DS/Algo,0.0003,0.1551,1056,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
787,Grok-1.5,P1,Physics Basic,0.0012,0.4299,1535,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
788,Claude 3,C4,Code LeetCode Easy,0.001209,0.44651,945,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
789,Claude 3,M2,Math Algebra,0.0012,0.543,1368,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-15
790,Grok-1.5,P2,Physics Mechanics,0.001575,0.6188,608,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-15
791,Claude 3,R2,Reasoning Logical,0.0011,0.707,1637,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-11
792,GPT-4,G1,General Short,0.001,0.35,1281,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-12
793,GPT-4,G1,General Short,0.00101,0.461,85,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
794,GPT-4,R1,Reasoning Basic,0.0009,0.32235,1323,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
795,Llama-3 70B,C1,Code Basic,0.00032,0.13,1259,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
796,Grok-1.5,R3,Reasoning Puzzle,0.002254,0.9118,819,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
797,GPT-4,G3,General Long,0.00104,0.4169,1663,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
798,GPT-4,P2,Physics Mechanics,0.001025,0.4,879,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
799,Grok-1.5,M5,Math Olympiad,0.0032,1.988,770,623,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
800,Claude 3,C2,Code API/JSON,0.00139,0.75,1255,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
801,Claude 3,M1,Math Basic,0.0012,0.56,407,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-12
802,Claude 3,G1,General Short,0.00121,0.58423,357,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
803,Llama-3 70B,R1,Reasoning Basic,0.00038,0.2392,643,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
804,Grok-1.5,G2,General Medium,0.00144,0.724,1283,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
805,Grok-1.5,C4,Code LeetCode Easy,0.0016,0.5113,821,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
806,GPT-4,M2,Math Algebra,0.00113,0.61466,1299,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
807,GPT-4,P3,Physics EM,0.0011,0.35529,331,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
808,Llama-3 70B,P4,Physics Quantum,0.00086,0.32315,630,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-13
809,Grok-1.5,C1,Code Basic,0.0013274,0.4777,1648,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-11
810,Claude 3,M1,Math Basic,0.001188,0.5032,1019,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-2
811,Claude 3,M2,Math Algebra,0.001417,0.46113,255,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-7
812,Llama-3 70B,C5,Code LeetCode Hard,0.0008439,0.3737,127,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-1
813,Llama-3 70B,M4,Math Advanced,0.000604,0.3215,236,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
814,Grok-1.5,G3,General Long,0.0013,,240,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-12
815,Grok-1.5,P2,Physics Mechanics,0.0015,0.61396,633,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-6
816,Grok-1.5,C1,Code Basic,0.00141,0.609,1561,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
817,Llama-3 70B,M2,Math Algebra,0.0004257,,1763,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
818,Claude 3,G2,General Medium,0.000904,0.5376,1101,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-6
819,Grok-1.5,M1,Math Basic,0.00129,0.651,494,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
820,Llama-3 70B,P3,Physics EM,0.0004,0.1728,1678,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-2
821,GPT-4,G3,General Long,0.00108,0.502,1191,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
822,Claude 3,R1,Reasoning Basic,0.0009,0.48,439,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-12
823,Llama-3 70B,C1,Code Basic,0.0003344,0.127,1074,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
824,GPT-4,P3,Physics EM,0.00091,0.54677,568,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
825,Llama-3 70B,R2,Reasoning Logical,0.0004,0.1789,503,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
826,Grok-1.5,M2,Math Algebra,0.001682,0.8156,1501,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
827,Grok-1.5,C4,Code LeetCode Easy,0.00152,0.524,1633,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-7
828,Claude 3,M2,Math Algebra,0.0011,0.572,702,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
829,Claude 3,R3,Reasoning Puzzle,0.0017862,0.7175,1662,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
830,Grok-1.5,R2,Reasoning Logical,0.0016,0.8046,892,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
831,Grok-1.5,C3,Code DS/Algo,0.0013933,0.75,445,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-15
832,Claude 3,M2,Math Algebra,0.0013508,0.53374,1190,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
833,Claude 3,M1,Math Basic,0.0009026,0.37,617,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-6
834,Claude 3,G1,General Short,0.000893,0.5,1084,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-2
835,Llama-3 70B,P2,Physics Mechanics,0.0003,0.191,713,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
836,Grok-1.5,R2,Reasoning Logical,0.00156,0.83413,1343,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
837,Grok-1.5,P2,Physics Mechanics,0.00139,0.71,1171,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-2
838,Grok-1.5,G3,General Long,0.0014,0.7262,1192,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
839,Claude 3,C3,Code DS/Algo,0.0012,0.7,369,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
840,Claude 3,M5,Math Olympiad,0.002824,1.597,528,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
841,Grok-1.5,C5,Code LeetCode Hard,0.0033,2.02137,509,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
842,Claude 3,M2,Math Algebra,0.0014478,0.66328,1091,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-14
843,Llama-3 70B,P1,Physics Basic,0.000301,0.1413,473,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-3
844,Grok-1.5,C1,Code Basic,0.0014955,0.64,204,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
845,Grok-1.5,P2,Physics Mechanics,0.001418,,293,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
846,Llama-3 70B,P4,Physics Quantum,0.0008,0.3455,1041,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
847,Grok-1.5,G1,General Short,0.00157,0.57,998,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-2
848,GPT-4,M2,Math Algebra,0.0011135,0.4,1049,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-13
849,GPT-4,M2,Math Algebra,0.001205,0.551,346,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
850,Grok-1.5,G2,General Medium,0.0013746,0.438,1608,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-8
851,Llama-3 70B,G1,General Short,0.00038,,1446,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
852,Llama-3 70B,G2,General Medium,0.00039,0.225,918,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-7
853,GPT-4,M1,Math Basic,0.000968,0.31004,1608,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
854,GPT-4,R1,Reasoning Basic,0.0009443,0.2996,742,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-9
855,Grok-1.5,M5,Math Olympiad,0.00344,1.64898,634,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
856,GPT-4,R3,Reasoning Puzzle,0.001543,0.484,1049,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-4
857,Grok-1.5,R2,Reasoning Logical,0.0016,0.752,810,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-9
858,GPT-4,M3,Math Calculus,0.001652,0.7283,1467,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-5
859,Claude 3,M3,Math Calculus,0.0016,0.83,111,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-10
860,Grok-1.5,C3,Code DS/Algo,0.0012652,0.58866,1095,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
861,GPT-4,C2,Code API/JSON,0.0014,0.5075,415,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-10
862,GPT-4,R3,Reasoning Puzzle,0.0017619,1.04602,1279,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
863,Grok-1.5,C1,Code Basic,0.00142,0.68024,1377,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
864,Grok-1.5,M1,Math Basic,0.0013,0.68183,1271,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
865,Grok-1.5,C1,Code Basic,0.00134,0.774,709,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
866,GPT-4,M3,Math Calculus,0.00172,0.79,1482,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
867,Grok-1.5,M1,Math Basic,0.0014,0.54519,1350,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
868,Llama-3 70B,R3,Reasoning Puzzle,0.0007896,0.36172,466,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
869,Grok-1.5,R2,Reasoning Logical,0.0013,0.5219,705,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
870,GPT-4,C3,Code DS/Algo,0.00109,0.36493,502,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-5
871,Llama-3 70B,P2,Physics Mechanics,0.0003065,0.11,1782,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
872,GPT-4,C2,Code API/JSON,0.0012,0.39,1228,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
873,Claude 3,M4,Math Advanced,0.0020851,0.94224,740,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-3
874,Llama-3 70B,G1,General Short,0.0003,0.176,869,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
875,GPT-4,P3,Physics EM,0.0010399,0.43,1498,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-6
876,Grok-1.5,R1,Reasoning Basic,0.00127,0.408,989,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
877,Grok-1.5,C5,Code LeetCode Hard,0.002887,1.3,739,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
878,GPT-4,R3,Reasoning Puzzle,0.0019,0.76426,835,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
879,GPT-4,R1,Reasoning Basic,0.0008,0.40905,1360,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
880,Llama-3 70B,P3,Physics EM,0.0004,0.16394,105,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
881,Grok-1.5,P3,Physics EM,0.001276,0.57293,292,623,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-1
882,Grok-1.5,M4,Math Advanced,0.0027,1.255,931,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
883,GPT-4,P3,Physics EM,0.00093,0.5045,1144,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
884,GPT-4,R1,Reasoning Basic,0.000885,0.41954,716,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-6
885,Claude 3,P4,Physics Quantum,0.0027598,0.8446,901,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
886,GPT-4,P2,Physics Mechanics,0.00101,0.5141,1435,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-4
887,Claude 3,M5,Math Olympiad,0.002491,0.83302,1792,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-5
888,GPT-4,G3,General Long,0.00108,0.42,1667,20,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
889,Claude 3,C2,Code API/JSON,0.00147,0.644,1432,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
890,Grok-1.5,R1,Reasoning Basic,0.0013,0.526,1756,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
891,Grok-1.5,R3,Reasoning Puzzle,0.0023,0.99,1282,419,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
892,GPT-4,R3,Reasoning Puzzle,0.00146,0.72576,1743,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
893,Grok-1.5,C5,Code LeetCode Hard,0.0027,,1526,240,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
894,Claude 3,R2,Reasoning Logical,0.001219,0.4139,303,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-12
895,Claude 3,M3,Math Calculus,0.00184,0.58,1028,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-4
896,GPT-4,R3,Reasoning Puzzle,0.00154,0.6215,395,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
897,Claude 3,C5,Code LeetCode Hard,0.0025628,,1670,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
898,GPT-4,G3,General Long,0.000799,0.468,1781,240,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
899,Claude 3,R2,Reasoning Logical,0.000944,0.381,1313,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
900,Claude 3,G2,General Medium,0.001177,0.6205,1433,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-1
901,Grok-1.5,C5,Code LeetCode Hard,0.00304,1.51833,1327,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
902,Llama-3 70B,G3,General Long,0.0004,0.12,1426,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-4
903,Claude 3,C5,Code LeetCode Hard,0.002044,0.76686,1372,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
904,Grok-1.5,G1,General Short,0.00136,0.655,336,419,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
905,Llama-3 70B,C3,Code DS/Algo,0.000342,0.17,774,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
906,Llama-3 70B,R2,Reasoning Logical,0.0003,0.12877,808,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-12
907,Claude 3,C4,Code LeetCode Easy,0.00092,0.38554,273,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-3
908,Llama-3 70B,M5,Math Olympiad,0.000891,0.4,1295,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-7
909,GPT-4,P2,Physics Mechanics,0.0010311,0.6008,1068,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-14
910,Claude 3,C2,Code API/JSON,0.001463,0.81,1566,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-1
911,GPT-4,G3,General Long,0.0008759,0.3146,1368,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
912,Grok-1.5,P3,Physics EM,0.001483,0.61,474,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
913,Grok-1.5,P1,Physics Basic,0.001587,0.66,1174,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
914,Claude 3,C4,Code LeetCode Easy,0.00104,0.33049,1691,419,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-8
915,Claude 3,G1,General Short,0.001096,0.52925,372,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
916,GPT-4,C1,Code Basic,0.001,0.52008,284,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-10
917,GPT-4,C2,Code API/JSON,0.00133,0.51571,1602,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-4
918,Llama-3 70B,G2,General Medium,0.0003,0.194,1321,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
